,en,zh-tw
0,abatement,減排
1,abnormal position,位置異常
2,absorbent properties,吸水性
3,acan,不是
4,accept information,接受信息
5,achieve authentication,實現認證
6,acid absorption,酸吸收
7,ack,確認
8,acoustooptic modulator,聲光調製器
9,acrylate groups,丙烯酸酯基團
10,activating position,激活位置
11,acylate with acids,用酸酰化
12,adapt for learning,適應學習
13,adaptive linear,自適應線性
14,adhesive mounting,粘合劑安裝
15,adjacent laterally,橫向相鄰
16,adjust gas flow,調節氣體流量
17,adjustable multiple,可調倍數
18,aesthetic effects,美學效果
19,agitate means,攪動的意思
20,air flow line,空氣流線
21,air vent openings,通風口
22,align with input shaft,與輸入軸對齊
23,alpha gypsum,阿爾法石膏
24,alphatic,字母
25,aluminium compounds,鋁化合物
26,alumino silicates,鋁矽酸鹽
27,ammonia recovery,氨回收
28,androgen receptor modulators,雄激素受體調節劑
29,angular contact bearing,角接觸軸承
30,animal fats,動物脂肪
31,annular ends,環形端
32,annular neck,環形頸
33,antiatherosclerotic,抗動脈粥樣硬化
34,antidiuretic,抗利尿劑
35,antigen composition,抗原成分
36,apart elongated,分開拉長
37,application messaging,應用程序消息
38,apply on tube,適用於管
39,apply to anode electrode,適用於陽極電極
40,apply to muscle,適用於肌肉
41,apply to requests,適用於請求
42,appropriate adjustment,適當的調整
43,aralkynyl,芳炔基
44,arc type,弧型
45,arcade,拱廊
46,arcuate means,弓形手段
47,arm design,手臂設計
48,arm roller,臂輥
49,arrange in fashion,時尚地安排
50,associated log,關聯日誌
51,automatic coffee,自動咖啡
52,auxiliary water,輔助水
53,average impact,平均影響
54,average pore size,平均孔徑
55,average power ratio reduction,平均功率比降低
56,axial extension,軸向延伸
57,axle boxes,軸箱
58,azabicyclo,氮雜雙環
59,bandedge,帶邊
60,base fuels,基礎燃料
61,based interpolation,基於插值
62,based method,基於方法
63,based propellant,基於推進劑
64,based writing,基於寫作
65,battery cell assembly,電池組件
66,battery heater,電池加熱器
67,battery monitoring circuit,電池監控電路
68,beam traveling direction,光束行進方向
69,belt shifting,皮帶變速
70,biocytin,生物胞素
71,biomimetic,仿生
72,block selection signal,塊選擇信號
73,blooming drains,盛開的排水溝
74,board id,董事會編號
75,board manufacture,板製造
76,boom hydraulic cylinder,動臂液壓缸
77,brake arms,剎車臂
78,breech mechanism,後膛機構
79,broadband information,寬帶信息
80,browsers,瀏覽器
81,brush guard,刷警衛
82,buck converter circuit,降壓轉換器電路
83,buffer strip,緩衝帶
84,cable securing,電纜固定
85,cache segments,緩存段
86,calibration status,校準狀態
87,calling card,電話卡
88,cap component,帽組件
89,carburization,滲碳
90,carpet tiles,地毯磚
91,carrier transportation,承運人運輸
92,carry by platform,平台攜帶
93,catalyst paste,催化劑糊
94,catching surface,捕捉面
95,catheter distal end,導管遠端
96,cathode layer,陰極層
97,cement composite,水泥複合材料
98,central communication unit,中央通信單元
99,central flow path,中心流路
100,central nucleus,中央核
101,cervical support,宮頸支撐
102,chagas disease,恰加斯病
103,channel vectors,渠道矢量圖
104,chemical activity,化學活性
105,chemically modified polymers,化學改性聚合物
106,chip form,芯片形式
107,chirped optical,啁啾光學
108,churned,攪動
109,circumferential clamp,圓周夾具
110,cleaner system,清潔系統
111,clear buffer,清除緩衝區
112,clock input,時鐘輸入
113,clocked storage,時鐘存儲
114,clods,土塊
115,close gate,關門
116,coat with conducting layer,塗有導電層
117,coaxial cable transmission,同軸電纜傳輸
118,cochineal,胭脂蟲
119,cold state,冷態
120,collator,整理者
121,color difference signal,色差信號
122,combination function,組合功能
123,combine with optical elements,與光學元件結合
124,combustion elements,燃燒元件
125,come into relation,發生關係
126,comfortability,舒適度
127,committee,委員會
128,communicate through cavity,通過空腔進行通信
129,component composite coating,組分複合塗層
130,component control,組件控制
131,composite slurry,複合漿料
132,composite tile,複合瓷磚
133,compression loss,壓縮損失
134,comprise in refinement,包括細化
135,conduct cables,傳導電纜
136,conduct conducting material,導電材料
137,conductive position,導電位
138,conductor particles,導體粒子
139,congruency,一致性
140,conh2,conh2
141,conical path,錐形路徑
142,connect to common conductor,連接到公共導體
143,connect to electrode structure,連接到電極結構
144,connect with conduits,與導管連接
145,connected means,連接方式
146,connecting lines,連接線
147,connection speeds,連接速度
148,consist of oxalic acid,由草酸組成
149,consist of selection,包括選擇
150,contact cable,接觸電纜
151,contain bacterial cells,含有細菌細胞
152,contain based resin,含有基樹脂
153,contain elastomer,含有彈性體
154,contain sulfur compounds,含有硫化合物
155,container opener,開罐器
156,container section,集裝箱部分
157,content analysis,內容分析
158,control in steps,分步控制
159,cooled reaction,冷卻反應
160,corresponding toothed,對應齒
161,coupling arms,耦合臂
162,coupling factor,耦合因子
163,crank,曲柄
164,crystal thin,水晶薄
165,curing resin composition,固化樹脂組合物
166,cut from stack,從堆棧中切割
167,cyanoacrylate polymer,氰基丙烯酸酯聚合物
168,cyclic alcohols,環醇
169,dac system,DAC系統
170,data output circuit,數據輸出電路
171,data tree,數據樹
172,decompressor,減壓器
173,decoy oligonucleotide,誘餌寡核苷酸
174,decreased power,功率下降
175,define by memory,由記憶定義
176,define panel,定義面板
177,deflect light,偏轉光線
178,demodulator,解調器
179,dental aligners,牙齒矯正器
180,derived class,派生類
181,descriptive term,描述性術語
182,deteriorated,惡化
183,determine from analysis,從分析中確定
184,dicy,骰子
185,diesel fuel tank,柴油燃料箱
186,different circumferential positions,不同的圓周位置
187,different conductivity,不同的電導率
188,diffuse in substrate,在基材中擴散
189,digital multimeters,數字萬用表
190,dihalo compound,二鹵化合物
191,dimensional location,維度位置
192,dimple arrangement,酒窩排列
193,direct received light,直接接收光
194,disk type recording medium,盤式記錄介質
195,disperse in plastic material,分散在塑料材料中
196,dispersed powder,分散粉末
197,displacement mechanism,位移機制
198,display different pictures,顯示不同的圖片
199,display object,顯示對象
200,dissolve in addition,另外溶解
201,dissolve in glycol,溶於乙二醇
202,dissolve in solvent system,溶於溶劑體系
203,dissolving,溶解
204,distributor pipe,分配管
205,dna strand,脫氧核糖核酸鏈
206,donor plasmid,供體質粒
207,double planetary gear,雙行星齒輪
208,drainage,引流
209,drive balls,驅動球
210,dry coating composition1,幹塗料組合物1
211,dry corn,幹玉米
212,dual clutch,雙離合器
213,duplex device,雙工設備
214,ecn,電子商務
215,effective storage,有效儲存
216,el display,顯示器
217,elastic assembly,彈性組件
218,elastic repulsive,彈性排斥
219,electric field intensities,電場強度
220,electric starter,電啟動器
221,electrical current distribution,電流分佈
222,electromagnetic input,電磁輸入
223,electromagnetic radiation source,電磁輻射源
224,elevation view,立面圖
225,embedding groove,嵌入槽
226,embossing portion,壓花部分
227,encapsulated pigment,包封顏料
228,enclose with openings,用開口封閉
229,encode form,編碼形式
230,end of bars,酒吧結束
231,end pins,端銷
232,energy storage spring,儲能彈簧
233,engage clamp,接合夾
234,engage in guide slot,嚙合導槽
235,equip with blocks,配備積木
236,equipment unit,設備單元
237,equivalent molar,當量摩爾
238,estimated amount,估計金額
239,exclusion limit,排除限制
240,exhibit symmetry,表現出對稱性
241,exit electrode,出口電極
242,expandable intraluminal,可擴張的腔內
243,expandable scaffold,可擴展腳手架
244,extend areas,擴展區域
245,extend arrangement,擴展排列
246,extend from groove bottom,從凹槽底部延伸
247,external boundary,外部邊界
248,extracting process,提取過程
249,extraction location,提取位置
250,fall to low value,跌至低值
251,fan,扇子
252,fan rotation speed,風扇轉速
253,faucet assembly,水龍頭總成
254,fdi,外國直接投資
255,feed control valve,進料控制閥
256,fence post,圍欄
257,fiber slack,纖維鬆弛
258,fidelity,保真度
259,filled interior,充滿內部
260,final roll,最後一卷
261,finger actuator,手指執行器
262,fire cartridges,彈藥筒
263,fire ring,火環
264,fit within perimeter,適合周邊
265,flexible belt,彈性皮帶
266,flexible glass substrate,柔性玻璃基板
267,flexible membrane,柔性膜
268,flexible shunt,靈活分流
269,flow openings,流動開口
270,fluid flow source,流體流源
271,fluorinated olefin,氟化烯烴
272,flux regulator,通量調節器
273,foot side,腳側
274,form as body,形體
275,form between direction,方向之間的形式
276,form by electroforming,電鑄成型
277,form cutter,成型刀
278,form rivets,形成鉚釘
279,form tables,表格
280,form trench isolation,形成溝槽隔離
281,fountain head,噴泉頭
282,fractionate portion,分餾部分
283,frame handle,框架把手
284,free diameter,自由直徑
285,free fatty acid,游離脂肪酸
286,friction lock,摩擦鎖
287,ftir spectrometer,紅外光譜儀
288,further additional elements,進一步的附加元素
289,fused layer,融合層
290,gas leak,漏氣
291,gasoline blend,汽油混合物
292,gate insulator film,柵極絕緣膜
293,gate location,澆口位置
294,general anesthesia,全身麻醉
295,generate control signal,產生控制信號
296,generate in layer,層內生成
297,generated electrical power,產生的電力
298,glass part,玻璃部分
299,glycitin,大豆黃素
300,gnd,接地
301,gold alloy,金合金
302,gripping layer,夾層
303,guided projectiles,制導彈丸
304,guiding elements,指導元素
305,gutter hanger,天溝衣架
306,gutters,排水溝
307,halocarbyl,鹵代烴
308,hanging ring,吊環
309,hardware blocks,硬件塊
310,hear aid parameters,助聽器參數
311,heart pacemaker,心臟起搏器
312,heighth,高度
313,helicase activity,解旋酶活性
314,her2 targeted,her2 有針對性
315,herpes,皰疹
316,hexahydro,六氫
317,high frequency welding,高頻焊接
318,high gradient magnetic separators,高梯度磁選機
319,hinge mechanisms,鉸鏈機構
320,hot heat transfer,熱傳熱
321,hrb,hrb
322,hybrid bearing,混合軸承
323,hybrid system,混合系統
324,hydrocarbyl substituted succinic,烴基取代的琥珀酸
325,idle mixture,閒置混合物
326,illumination condition,光照條件
327,image signal generation,圖像信號生成
328,imaging axis,成像軸
329,imidazo,咪唑
330,implant pellets,植入顆粒
331,implement with plurality,用多個實現
332,include contact switch,包括接觸開關
333,include displacement,包括位移
334,include retaining elements,包括保持元件
335,increase hardness,增加硬度
336,index with location,帶位置的索引
337,indoor room,室內房間
338,inflow channels,流入渠道
339,ingress buffer,入口緩衝區
340,inner closed,內封閉
341,inner contact,內部接觸
342,inner fluid conduit,內部流體導管
343,inner peripheral,內周邊
344,inorganic hybrid,無機雜化
345,insert into trachea,插入氣管
346,insert nucleic acid,插入核酸
347,insertion losses,插入損耗
348,instruction processing,指令處理
349,insulation sleeve,絕緣套管
350,interconnect site,互連站點
351,interconnected levers,相互關聯的槓桿
352,interlock section,聯鎖部分
353,intermediate connection,中間連接
354,intermediate speed,中速
355,intruder detection,入侵者檢測
356,invertebrate,無脊椎動物
357,involve etherification,涉及醚化
358,inward travel,向內旅行
359,issued patent,已頒發專利
360,kalanchoe plant,長壽植物
361,key arm,鑰匙臂
362,key recesses,鍵槽
363,killed,被殺
364,kraft cooking,牛皮紙烹飪
365,labeled ligand,標記配體
366,laminated wall,夾層牆
367,lamination method,層壓法
368,laser beam optical,激光束光學
369,lateral power,橫向功率
370,length light,長光
371,leveller,矯直機
372,life testing,壽命測試
373,lift element,提升元件
374,lifting finger,舉起手指
375,lifting load,起重負載
376,light sensitive composition,光敏組合物
377,ligninases,木質素酶
378,linear change,線性變化
379,linear systems,線性系統
380,liquid reservoirs,儲液罐
381,load distribution system,負荷分配系統
382,locking formation,鎖定隊形
383,loudspeaker arrays,揚聲器陣列
384,low soc,低社會
385,lower stretches,較低的伸展
386,lower trunnion,下耳軸
387,machine end,機器端
388,magnetically actuated,磁力驅動
389,main lane,主車道
390,main linear,主要線性
391,main pulse laser,主脈衝激光器
392,maintain oxygen level,維持氧氣水平
393,make of high density polyethylene,由高密度聚乙烯製成
394,make of slabs,做板
395,maleic anhydride grafted,馬來酸酐接枝
396,map display system,地圖顯示系統
397,mat forming,墊成型
398,mat sections,墊子部分
399,material formation,物質形成
400,material item,材料項目
401,materially less,實質上更少
402,mayenite,流動性
403,measure by probe,探頭測量
404,measure surface temperature,測量表面溫度
405,medical product,醫療產品
406,melanocyte,黑色素細胞
407,melodies,旋律
408,melt coating,熔融塗層
409,membrane vesicle,膜泡
410,mentioned conveyor,提到的輸送機
411,metal phase,金屬相
412,metallic binder,金屬粘合劑
413,metallic cartridges,金屬墨盒
414,metastatic bone disease,轉移性骨病
415,metatarsal bones,蹠骨
416,methoxyethylamine,甲氧基乙胺
417,microchambers,微室
418,modify before use,使用前修改
419,moisture absorption rate,吸濕率
420,moisture proof film,防潮膜
421,monocrystalline semiconductor,單晶半導體
422,morpholin,嗎啉
423,mount on cylinders,安裝在氣缸上
424,move to range,移動到範圍
425,move towards left,向左移動
426,movement directions,運動方向
427,multiplexed data,復用數據
428,nail strip,指甲條
429,negative collector,負收集器
430,network load information,網絡負載信息
431,neural stimulation,神經刺激
432,new freely flowering,新的自由開花
433,non lamellar,非層狀
434,non polar carrier,非極性載體
435,noncollinear,非共線
436,normal base,正常鹼基
437,notch base,缺口底座
438,nozzle receptacle,噴嘴插座
439,nvm array,非虛擬機陣列
440,obstacle course,障礙賽
441,obtain from fractions,從分數中獲得
442,offset table,偏移表
443,oil tankers,油輪
444,olefin production,烯烴生產
445,opaque walls,不透明的牆壁
446,opc drum,opc鼓
447,opening assembly,開幕大會
448,operate by vacuum,真空操作
449,operate internal combustion engine,操作內燃機
450,operating channel,運營渠道
451,operational height,操作高度
452,operator identification information,操作員識別信息
453,opposing walls,對面的牆壁
454,optical glasses,光學眼鏡
455,optimal quantity,最佳數量
456,organic alkaline,有機鹼
457,organic starting,有機起始
458,orthogonal acceleration,正交加速度
459,outer bar,外欄
460,outer cylindrical electrode,外圓柱電極
461,output center,輸出中心
462,oven batteries,烤箱電池
463,overall condition,整體情況
464,overall weight,總重
465,overflow compartment,溢流隔間
466,overflow device,溢流裝置
467,oxidizing enzyme,氧化酶
468,oxygen carrier,氧載體
469,oxygen lean,貧氧
470,oxygen value,氧值
471,package member,包成員
472,page file,頁面文件
473,panel frame,面板框架
474,paraboloid,拋物面
475,parallel force,平行力
476,parallel orientation,平行方向
477,partial elliptical,偏橢圓
478,particular operational,特殊操作
479,pen based computer,筆式電腦
480,pendent,吊墜
481,peptide precursor,肽前體
482,perfluoroalkyl group,全氟烷基
483,perform desired action,執行所需的操作
484,perform working operations,執行工作操作
485,peripheral nervous system stimulation,周圍神經系統刺激
486,personage,人士
487,photocleavable linker,光裂解接頭
488,photodefinable,光定義
489,physical transport medium,物理傳輸介質
490,pick element,選擇元素
491,pictorial image,畫報
492,pillaring,支柱
493,pipe box,管箱
494,place to set,設置的地方
495,planar gear sets,平面齒輪組
496,plug nozzle,塞式噴嘴
497,ply tire,輪胎
498,pneumatic logic,氣動邏輯
499,polls,民意調查
500,polyglycolic acid,聚乙醇酸
501,polymeric ester,聚合酯
502,portable radio communication,便攜式無線電通信
503,position enclosure,定位外殼
504,positioning sheet,定位片
505,post hole diggers,後坑挖掘機
506,power conversion control,功率轉換控制
507,pre established parameters,預先設定的參數
508,pre trip,旅行前
509,predetermined acceleration,預定加速度
510,predetermined relatively,相對預定
511,preliminary dispersion,初步分散
512,preregistration,預註冊
513,pressing state,壓制狀態
514,pressure detection,壓力檢測
515,pressure failure,壓力故障
516,pressure signal,壓力信號
517,presynaptic,突觸前
518,prevent accidental separation,防止意外分離
519,previous batch,上一批
520,previously captured image,先前捕獲的圖像
521,produce by pump,泵生產
522,produce by recombinant dna technology,重組DNA技術生產
523,produce liquid hydrocarbons,生產液態碳氫化合物
524,produce thin layers,產生薄層
525,project onto surface,投射到表面
526,projection method,投影法
527,prolog,序言
528,prolong span,延長跨度
529,proper order,正確的順序
530,propyl bromide,溴丙烷
531,protocol component,協議組件
532,protograph,原型機
533,provide acknowledgement,提供確認
534,provide by terminals,由終端提供
535,provide car,提供汽車
536,provide for tuning,提供調優
537,provide in amounts,提供金額
538,provide restoring force,提供恢復力
539,provider networks,供應商網絡
540,psd functions,psd 函數
541,pulping apparatus,製漿設備
542,pulse width modulated control,脈寬調製控制
543,pulsed plasma,脈衝等離子體
544,pulverulent material,粉狀物質
545,punch face,打臉
546,pushing pin,推銷
547,radio wave transmission,無線電波傳輸
548,rear adjustment,後調整
549,receive acceleration,接收加速度
550,receive via surface,通過表面接收
551,receiver shaft,接收軸
552,recover from reaction product,從反應產物中回收
553,reduction factor,衰減係數
554,reflect by reflection mirror,用反射鏡反射
555,reflection type liquid crystal display,反射式液晶顯示器
556,regeneration agent,再生劑
557,register digital converter,寄存器數字轉換器
558,registration hole,註冊孔
559,relational formula,關係式
560,remain below threshold value,保持在閾值以下
561,remaining legs,剩餘的腿
562,renewable power,可再生能源
563,request buffer,請求緩衝區
564,resilient metal,彈性金屬
565,resilient spring clip,彈性彈簧夾
566,respective emitter,各自的發射器
567,retainer bolts,固定螺栓
568,retaining insert,固定插件
569,retinal tissue,視網膜組織
570,retorting process,蒸煮過程
571,return structure,返回結構
572,rhodium carbonyl,羰基銠
573,rizatriptan,利扎曲坦
574,rna seq,核糖核酸序列
575,rocker lever,搖桿
576,roll on workpiece,在工件上滾動
577,rotary electric,旋轉電動
578,rotary section,旋轉部分
579,rotatable chamber,旋轉室
580,rotate on its longitudinal axis,繞其縱軸旋轉
581,rotation protrusion,旋轉突起
582,rotor stages,轉子級
583,run during interval,在間隔期間運行
584,running tally,運行計數
585,salina,鹽鹼地
586,sand formation,砂形成
587,saturated felt,飽和氈
588,saw sensor,鋸傳感器
589,sawtooth waves,鋸齒波
590,scorch,燒焦
591,scratch coating,划痕塗層
592,seal members,密封件
593,seal teeth,密封牙
594,sealable adhesive,密封膠
595,search indices,搜索索引
596,sectional layer,截面層
597,secure to guard,安全保衛
598,seeded,播種
599,select unit,選擇單位
600,selected box,選中框
601,selected operation,選定的操作
602,selection logic,選擇邏輯
603,selectively predetermined,有選擇地預定
604,self resonance frequency,自諧振頻率
605,send to control node,發送到控制節點
606,sensitive photographic,敏感攝影
607,sequence conservation,序列守恆
608,service processing unit,服務處理單元
609,shannon,香農
610,shape like tail,形狀像尾巴
611,shaped engaging,形接合
612,shaped substrates,異形基材
613,sheet supply roller,供紙輥
614,shielded conductor,屏蔽導體
615,shift link,換檔鏈接
616,show in chemical formula,顯示在化學式中
617,shunt reactor,並聯電抗器
618,signal generating compound,信號產生化合物
619,signal sender,信號發送器
620,silicide formation,矽化物形成
621,siloxane based,矽氧烷基
622,similar absorbent,類似的吸收劑
623,single pumping chamber,單泵室
624,sleeve upper,袖子鞋面
625,slip segment,滑動段
626,slot open,開槽
627,smooth outer surface,光滑的外表面
628,soft polymeric,軟聚合物
629,solder member,焊料
630,source channel,來源渠道
631,source voltage,源電壓
632,speed control means,速度控制裝置
633,speed impeller,速度葉輪
634,sphygmomanometer,血壓計
635,split into flows,分裂成流
636,spoke wheels,輻條輪
637,sprayed,噴塗
638,spreader body,吊具體
639,square lattice,方格子
640,stability function,穩定函數
641,stabilizer members,穩定器構件
642,starch component,澱粉成分
643,stationary rod,固定桿
644,steering matrices,轉向矩陣
645,stepped pin,階梯銷
646,storage lid,儲物蓋
647,strand conveyor,絞線輸送機
648,substantially axial,基本軸向
649,substituted carboxylic,取代羧基
650,sulfide sulfur,硫化物
651,summits,峰會
652,sun member,太陽會員
653,superior abrasion,優越的耐磨性
654,support grooves,支撐槽
655,surface altering agent,表面改性劑
656,surgical gloves,手術手套
657,sustained delivery,持續交付
658,switch swm,切換游泳
659,synthetic training,綜合訓練
660,tap portion,水龍頭部分
661,target pointer,目標指針
662,terephthalate polyester,對苯二甲酸酯聚酯
663,tetracene,並四苯
664,therapeutic applications,治療應用
665,therapeutic immune,治療性免疫
666,time digital signal,時間數字信號
667,time domain equalization,時域均衡
668,toolpaths,刀具路徑
669,tooth spaces,齒隙
670,top surface member,頂面構件
671,track temperature,跟踪溫度
672,transfer onto substrate,轉移到基材上
673,transistor m6,晶體管m6
674,transition member,過渡成員
675,transmit alarm,傳送警報
676,transmit over interface,通過接口傳輸
677,transmit to platform,傳送到平台
678,transparent liquid crystal display,透明液晶顯示器
679,transport from layer,從層傳輸
680,travele in direction,向著方向前進
681,treatment programs,治療方案
682,triethylammonium salt,三乙銨鹽
683,trommel screen,鼓屏
684,tsr,tsr
685,tubular billet,管坯
686,tubular latch,管狀閂鎖
687,tunneling capacitor,隧道電容器
688,turbine machine,渦輪機
689,type parameter,類型參數
690,undulation,波動
691,unit inlet,單位入口
692,update test cases,更新測試用例
693,upper clamp arm,上夾臂
694,upper series,上系列
695,use as cooling fluid,用作冷卻液
696,use balance,使用餘額
697,use in positioning,用於定位
698,use physically unclonable functions,使用物理上不可克隆的功能
699,use solid materials,使用固體材料
700,use voltage converter,使用電壓轉換器
701,useful metal,有用的金屬
702,vacuum cups,真空杯
703,val ile,纈草
704,vco circuit,壓控振盪器電路
705,vegfr2,vegfr2
706,verifiable,可驗證的
707,vertical chute,垂直溜槽
708,vertical comb,垂直梳
709,vibratory actuator,振動致動器
710,video light,視頻燈
711,video lines,視頻線
712,voltage patterns,電壓模式
713,voltage values,電壓值
714,wafer inspection system,晶圓檢測系統
715,wake up procedures,喚醒程序
716,walking aids,助行器
717,walnut oil,核桃油
718,water infiltration,滲水
719,water intake,飲水量
720,water product,水產品
721,water propeller,水螺旋槳
722,water propulsion device,水推進裝置
723,wave generation,波產生
724,wearability,耐磨性
725,web transfer,網絡傳輸
726,wedge device,楔形裝置
727,weldability,可焊性
728,well pump,井泵
729,whose identity,誰的身份
730,wire grid polarization,線柵極化
731,wiring trough,線槽
732,wood article,木製品
